CA,Diesel,WCOB20,TB (CE),TBA1 (CE),TBA2 (CE),TBA3 (CE),,,,,,,,,,
0.823833838,0.54688537,0.54989015,0.549945626,0.545617213,0.547638673,0.537611695,,,,,,,,,,
0.825312692,0.553001779,0.552914365,0.553817441,0.550955262,0.551106781,0.540910842,,,,,,,,,,
0.826791795,0.5584898,0.558514367,0.559840276,0.554336293,0.556380334,0.548449513,,,,,,,,,,
0.828270898,0.561456235,0.562061315,0.565244338,0.559668109,0.559720515,0.556621701,,,,,,,,,,
0.829750001,0.566949245,0.570166222,0.56816539,0.56561197,0.564987911,0.561830467,,,,,,,,,,
0.831229105,0.570428426,0.576209463,0.573574364,0.570945171,0.570859956,0.565129613,,,,,,,,,,
0.832707959,0.578378485,0.582416673,0.577000318,0.573827921,0.576128721,0.570332299,,,,,,,,,,
0.834187062,0.584306265,0.588751532,0.584828751,0.57916597,0.578976641,0.576132205,,,,,,,,,,
0.835666165,0.590394883,0.595238219,0.590665844,0.582547001,0.584250194,0.581336242,,,,,,,,,,
0.837145268,0.596608709,0.601869781,0.596661314,0.590272783,0.587590375,0.584149175,,,,,,,,,,
0.838624372,0.602971464,0.608623905,0.602780077,0.596033337,0.595222812,0.589357942,,,,,,,,,,
0.840103475,0.609476325,0.615531518,0.609045489,0.601950192,0.600913766,0.592657088,,,,,,,,,,
0.841582329,0.616101407,0.622566779,0.615450835,0.607988723,0.606759131,0.60019576,,,,,,,,,,
0.843061432,0.622877046,0.629724499,0.621974562,0.61417198,0.612724703,0.605816799,,,,,,,,,,
0.844540535,0.629777894,0.637015159,0.628646542,0.620493335,0.618833253,0.611590353,,,,,,,,,,
0.846019639,0.63679886,0.644404098,0.635441815,0.62693152,0.625078232,0.617482637,,,,,,,,,,
0.847498742,0.643950227,0.651882701,0.64235537,0.633516013,0.631438629,0.623516142,,,,,,,,,,
0.848977596,0.651197996,0.659444224,0.649397331,0.640222184,0.637943567,0.629684401,,,,,,,,,,
0.850456699,0.658533715,0.667067806,0.656534217,0.647045085,0.644568712,0.635966659,,,,,,,,,,
