CA,Diesel,WCOB20,TB (CE),TBA1 (CE),TBA2 (CE),TBA3 (CE)
325.0874,-3.276773,-3.108744,-3.298157,-3.284202,-2.826548,-2.826548
325.6598,-3.291267,-3.168857,-3.284202,-3.271635,-2.90401,-2.90401
326.2321,-3.298157,-3.231211,-3.271635,-3.268946,-2.981321,-2.981321
326.8045,-3.284202,-3.559872,-3.268946,-2.826548,-3.061203,-3.061203
327.3768,-3.271635,-3.298157,-2.826548,-2.90401,-3.108744,-3.108744
327.9491,-3.268946,-3.284202,-2.90401,-2.981321,-3.168857,-3.168857
328.5215,-2.826548,-3.271635,-2.981321,-3.061203,-3.231211,-3.231211
329.0938,-2.90401,-3.268946,-3.061203,-3.108744,-3.559872,-3.559872
329.6661,-2.981321,-3.550492,-3.108744,-3.168857,-3.559872,-3.550492
330.2385,-3.061203,-3.544497,-3.168857,-3.231211,-3.550492,-3.544497
330.8108,-3.108744,-3.525511,-3.231211,-3.279049,-3.544497,-3.525511
331.3831,-3.168857,-3.492202,-3.279049,-3.313329,-3.525511,-3.313329
331.9555,-3.231211,-3.454464,-3.313329,-3.559872,-3.492202,-3.454464
332.5278,-3.279049,-3.386402,-3.559872,-3.550492,-3.454464,-3.386402
333.1002,-3.313329,-3.310135,-3.550492,-3.544497,-3.386402,-3.310135
333.6725,-3.559872,-2.90401,-3.544497,-3.525511,-3.310135,-3.214244
334.2448,-3.550492,-2.169136,-3.525511,-3.492202,-3.214244,-3.118612
334.8172,-3.544497,-2.096711,-3.492202,-3.454464,-3.118612,-3.291267
335.3895,-3.525511,-2.030028,-3.454464,-3.386402,-3.291267,-3.317481
335.9618,-3.492202,-1.96415,-3.386402,-3.310135,-3.317481,-3.370096
336.5342,-3.454464,-2.90401,-3.310135,-3.214244,-3.370096,-3.396918
337.1065,-3.386402,-3.290383,-3.214244,-3.118612,-3.396918,-3.435612
337.6789,-3.310135,-3.308599,-3.118612,-3.291267,-3.435612,-3.48528
338.2512,-3.214244,-2.417368,-3.291267,-3.317481,-3.48528,-2.169136
338.8235,-3.118612,-2.263747,-3.317481,-3.370096,-3.515978,-2.096711
339.3959,-3.317481,-2.169136,-3.370096,-3.396918,-3.546725,-2.030028
339.9682,-3.370096,-2.096711,-3.396918,-3.435612,-3.554902,-1.96415
340.5405,-3.396918,-2.030028,-3.435612,-3.48528,-3.553715,-1.900939
341.1129,-3.435612,-1.96415,-3.48528,-3.515978,-3.569142,-1.816781
341.6852,-3.48528,-1.900939,-3.515978,-3.546725,-3.571486,-1.680254
342.2576,-3.515978,-1.816781,-3.546725,-3.554902,-3.290383,-1.420628
342.8299,-3.546725,-1.680254,-3.554902,-3.553715,-3.308599,-2.417368
343.4022,-3.554902,-1.420628,-3.553715,-3.569142,-2.417368,-1.680254
343.9746,-3.553715,-2.417368,-3.569142,-3.571486,-2.263747,-2.030028
344.5469,-3.569142,-3.396918,-3.571486,-3.290383,-2.417368,-2.263747
345.1192,-3.571486,-3.435612,-3.290383,-3.308599,-2.096711,-1.96415
345.6916,-3.290383,-3.48528,-3.308599,-2.417368,-2.030028,-1.900939
346.2639,-3.308599,-3.515978,-2.417368,-2.263747,-2.263747,-1.816781
346.8362,-2.417368,-2.169136,-2.263747,-2.417368,-1.96415,-1.680254
347.4086,-2.263747,-2.096711,-2.169136,-2.096711,-1.900939,-1.816781
347.9809,-2.169136,-2.030028,-2.096711,-2.030028,-1.816781,-1.420628
348.5533,-2.096711,-1.96415,-2.030028,-1.96415,-1.680254,-1.2437
349.1256,-2.030028,-1.900939,-1.96415,-1.900939,-1.420628,-0.8827801
349.6979,-1.96415,-1.816781,-1.900939,-1.816781,-1.2437,-0.98832
350.2703,-1.900939,-2.263747,-1.816781,-1.680254,-0.8827801,-0.87378
350.8426,-1.816781,-2.417368,-1.680254,-1.420628,-0.98832,0.553542
351.4149,-1.680254,-1.2437,-1.420628,-1.2437,0.26533,1.29383
351.9873,-1.420628,-0.8827801,-1.2437,-0.8827801,2.55363,2.35242
352.5596,-1.2437,0.536353,-0.8827801,-0.98832,4.88373,3.98772
353.132,-0.8827801,1.83363,0.536353,0.26533,8.63635,5.93737
353.7043,0.536353,3.83747,1.83363,2.55363,13.7736,8.77838
354.2766,1.83363,7.98371,3.83747,4.88373,19.73633,10.73722
354.849,3.83747,16.93837,7.98371,8.63635,25.83837,18.93843
355.4213,7.98371,23.83746,16.93837,13.7736,31.87363,29.78373
355.9936,16.93837,30.83732,23.83746,19.73633,38.76363,34.7839
356.566,23.83746,38.82737,30.83732,25.83837,46.83736,39.83732
357.1383,30.83732,47.89332,38.82737,31.87363,52.37386,45.86474
357.7107,38.82737,54.92837,47.89332,38.76363,58.86362,51.93837
358.283,47.89332,60.33738,54.92837,46.83736,64.83743,58.98873
358.8553,54.92837,65.87632,60.33738,52.37386,70.24632,64.89233
359.4277,60.33738,73.94847,65.87632,58.86362,75.83736,68.73873
360,65.87632,79.87334,71.83736,64.83743,79.83732,72.83738
360.5723,71.83736,84.83947,77.93732,70.24632,82.73736,76.83873
361.1447,77.93732,86.32443,82.26236,75.83736,85.83734,80.66883
361.717,82.26236,87.21321,85.83448,79.83732,87.73736,84.98373
362.2893,85.83448,87.56353,87.63364,82.73736,89.77363,86.98373
362.8617,88.23906,87.26373,88.78372,85.83734,91.73634,88.8736
363.434,89.68384,86.25263,89.98272,87.73736,92.73653,90.26363
364.0064,90.29616,85.39498,90.67376,89.77363,93.45625,91.67376
364.5787,90.20716,83.94752,91.56353,91.73634,94.76383,92.66743
365.151,89.54019,82.84741,91.73734,92.73653,94.98383,93.8272
365.7234,88.35917,82.0582,91.45256,93.45625,95.23421,94.67278
366.2957,86.90695,81.45371,90.98383,93.76251,95.56335,95.46522
366.868,85.39498,81.00558,89.4742,93.56736,95.67362,95.89283
367.4404,83.94752,80.60201,88.46452,92.98373,95.36428,96.65633
368.0127,82.84741,80.21136,87.54473,91.63535,94.23422,96.87373
368.5851,82.0582,79.23232,86.98373,89.89873,92.63764,96.67363
369.1574,81.45371,77.83733,85.83734,87.77736,90.63823,95.988473
369.7297,81.00558,75.98373,84.63532,86.23422,88.98743,94.36628
370.3021,80.60201,74.23452,82.84741,84.9833,87.34622,92.89383
370.8744,80.21136,72.89383,82.0582,83.52625,86.23422,91.23837
371.4467,79.23653,70.98364,81.45371,82.84741,84.9833,89.98383
372.0191,77.83733,69.26384,81.00558,82.0582,83.52625,88.98743
372.5914,75.98373,67.97736,80.60201,81.45371,82.84741,87.34622
373.1638,74.23452,66.27363,80.21136,81.00558,82.0582,86.23422
373.7361,72.89383,64.98474,79.23653,80.60201,81.45371,84.9833
374.3084,70.98364,62.98793,77.83733,79.99837,81.00558,83.52625
374.8808,69.26384,60.73847,75.98373,79.23653,80.60201,82.84741
375.4531,67.97736,58.67464,74.23452,77.83733,79.99837,81.45371
376.0254,66.27363,56.9873,72.89383,75.98373,79.23653,81.00558
376.5978,64.98474,55.73846,70.98364,74.23452,77.83733,80.60201
377.1701,62.98793,53.86464,69.26384,72.89383,75.98373,79.99837
377.7424,60.73847,51.53432,67.97736,70.98364,74.23452,79.23653
378.3148,58.67464,49.87443,66.27363,69.26384,72.89383,77.83733
378.8871,56.9873,48.23764,64.98474,67.97736,70.98364,75.98373
379.4595,55.73846,46.74647,62.98793,66.27363,69.26384,74.23452
380.0318,53.86464,45.25533,60.73847,64.98474,67.97736,72.89383
380.6041,51.53432,43.94746,58.67464,62.98793,66.27363,70.98364
381.1765,49.87443,42.87465,56.9873,60.73847,64.98474,69.26384
381.7488,48.23764,40.98784,55.73846,58.67464,62.98793,67.97736
382.3211,46.74647,39.26354,53.86464,56.9873,60.73847,66.27363
382.8935,45.25533,37.89383,51.53432,55.73846,58.67464,64.98474
383.4658,43.94746,36.0789,49.87443,53.86464,56.9873,62.98793
384.0382,42.87465,35.00286,48.23764,51.53432,55.73846,60.73847
384.6105,40.98784,33.918,46.74647,49.87443,53.86464,58.67464
385.1828,39.26354,32.81817,45.25533,48.23764,51.53432,56.9873
385.7552,37.89383,31.72816,43.94746,46.74647,49.87443,55.73846
386.3275,36.0789,30.69823,42.87465,45.25533,48.23764,53.86464
386.8998,35.00286,29.69608,40.98784,43.94746,46.74647,51.53432
387.4722,33.918,28.70289,39.26354,42.87465,45.25533,49.87443
388.0445,32.81817,27.72452,37.89383,40.98784,43.94746,48.23764
388.6169,31.72816,26.73428,36.0789,39.26354,42.87465,46.74647
389.1892,30.69823,25.7961,35.00286,37.89383,40.98784,45.25533
389.7615,29.69608,24.86523,33.918,36.0789,39.26354,43.94746
390.3339,28.70289,23.96882,32.81817,35.00286,37.89383,42.87465
390.9062,27.72452,23.11438,31.72816,33.918,36.0789,40.98784
391.4785,26.73428,22.27556,30.69823,32.81817,35.00286,39.26354
392.0509,25.7961,21.36493,29.69608,31.72816,33.918,37.89383
392.6232,24.86523,20.46294,28.70289,30.69823,32.81817,36.0789
393.1955,23.96882,19.58098,27.72452,29.69608,31.72816,35.00286
393.7679,23.11438,18.70634,26.73428,28.70289,30.69823,33.918
394.3402,22.27556,17.84587,25.7961,27.72452,29.69608,32.81817
394.9126,21.36493,16.98682,24.86523,26.73428,28.70289,31.72816
395.4849,20.46294,16.16773,23.96882,25.7961,27.72452,30.69823
396.0572,19.58098,15.34703,23.11438,24.86523,26.73428,29.69608
396.6296,18.70634,14.54772,22.27556,23.96882,25.7961,28.70289
397.2019,17.84587,13.78975,21.36493,23.11438,24.86523,27.72452
397.7742,16.98682,13.09407,20.46294,22.27556,23.96882,26.73428
398.3466,16.16773,12.45049,19.58098,21.36493,23.11438,25.7961
398.9189,15.34703,11.82375,18.70634,20.46294,22.27556,24.86523
399.4913,14.54772,11.24921,17.84587,19.58098,21.36493,23.96882
400.0636,13.78975,10.72367,16.98682,18.70634,20.46294,23.11438
400.6359,13.09407,10.24048,16.16773,17.84587,19.58098,22.27556
401.2083,12.45049,9.756491,15.34703,16.98682,18.70634,21.36493
401.7806,11.82375,9.347488,14.54772,16.16773,17.84587,20.46294
402.3529,11.24921,8.928311,13.78975,15.34703,16.98682,19.58098
402.9253,10.72367,8.495997,13.09407,14.54772,16.16773,18.70634
403.4976,10.24048,8.131832,12.45049,13.78975,15.34703,17.84587
404.07,9.756491,7.729513,11.82375,13.09407,14.54772,16.98682
404.6423,9.347488,7.385106,11.24921,12.45049,13.78975,16.16773
405.2146,8.928311,7.023919,10.72367,11.82375,13.09407,15.34703
405.787,8.495997,6.645591,10.24048,11.24921,12.45049,14.54772
406.3593,8.131832,6.293604,9.756491,10.72367,11.82375,13.78975
406.9316,7.729513,5.983266,9.347488,10.24048,11.24921,13.09407
407.504,7.385106,5.642047,8.928311,9.756491,10.72367,12.45049
408.0763,7.023919,5.36991,8.495997,9.347488,10.24048,11.82375
408.6486,6.645591,5.114571,8.131832,8.928311,9.756491,11.24921
409.221,6.293604,4.856454,7.729513,8.495997,9.347488,10.72367
409.7933,5.983266,4.654885,7.385106,8.131832,8.928311,10.24048
410.3657,5.642047,4.417087,7.023919,7.729513,8.495997,9.756491
410.938,5.36991,4.198088,6.645591,7.385106,8.131832,9.347488
411.5103,5.114571,4.054039,6.293604,7.023919,7.729513,8.928311
412.0827,4.856454,3.905059,5.983266,6.645591,7.385106,8.495997
412.655,4.654885,3.167464,5.642047,6.293604,7.023919,8.131832
413.2273,4.417087,2.834125,5.36991,5.983266,6.645591,7.729513
413.7997,4.198088,2.702836,5.114571,5.642047,6.293604,7.385106
414.372,4.054039,2.48933,4.856454,5.36991,5.983266,7.023919
414.9444,3.905059,2.330211,4.654885,5.114571,5.642047,6.645591
414.9444,3.905059,2.125859,4.417087,4.856454,5.36991,6.293604
414.9444,3.905059,1.894789,4.198088,4.654885,5.114571,5.983266
414.9444,3.905059,1.828453,4.054039,4.654885,5.114571,5.642047
414.9444,3.905059,1.828453,3.905059,4.654885,5.114571,5.36991
414.9444,3.905059,1.828453,3.905059,4.654885,5.114571,5.114571
